#separator:comma
#html:true
#tags column:4
#columns:Learnable,Definition,Audio,Level tags
"عِنْد","auprès, chez","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933312_200107_1602_27.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"كَعْبَة","la Kaaba","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933313_200107_1602_37.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"نَحْنُ","nous","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933314_200107_1602_47.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"نَقَلَ/يَنْقُلُ","transporter","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933315_200107_1602_57.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"يَدٌ/أَيْدٍ","main(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933316_200107_1603_09.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"اثْنا عَشَرَ","douze","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933318_200107_1603_28.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"أخٌ/إخْوَةٌ/إخْوانٌ","frère(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933319_200107_1603_37.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"أُخْرى/أُخَرُ","autre(s), (féminin)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933320_200107_1603_49.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"إسْحاقُ","Ishaq","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933321_200107_1604_00.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"أَقْصى","lointain","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933322_200107_1604_10.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"حَوْل","autour","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933323_200107_1610_28.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"سارَةُ","Sarah","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933324_200107_1612_42.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"سَكَنَ/يَسْكُنُ","habiter","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933325_200107_1612_58.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"شام","la grande Syrie","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933326_200107_1613_12.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"عَجيبٌ","étrange","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933327_200107_1613_26.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"قُرْآنٌ","coran","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933328_200107_1613_40.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"قِصَّةٌ/قِصَصٌ","histoire(s), conte(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933329_200107_1613_55.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"كَما","comme","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933330_200107_1614_12.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"مَسْجِدٌ/مَساجِدُ","mosquée(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933331_200107_1614_27.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"مَقْدِسٌ/مُقَدَّسٌ","sacré","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933332_200107_1614_45.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"يَعْقوبُ","Yacoub","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933333_200107_1615_04.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"يوسُفُ","Youssouf","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933334_200107_1615_20.mp3]","Qissas_an-nabiyîn_(3ème_année)::06_Tableau_14-16"
"أَحَدَ عَشَرَ","onze","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933551_200107_1621_21.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"أَحْسَنُ/حُسنى","le plus beau","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933552_200107_1621_32.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"أَخْبَرَ/يُخْبِرُ","informer","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933553_200107_1621_46.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"آلٌ","famille","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933554_200107_1622_09.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"إنْسانٌ","homme (au sens général)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933555_200107_1622_20.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"أَنْعَمَ/يُنْعِمُ","combler de bienfaits","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933556_200107_1622_31.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"بِشارَةٌ","bonne nouvelle","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933557_200107_1622_49.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"جَدٌّ/أَجْدادٌ","aïeul(eux), ancêtre(s), grand-père","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933558_200107_1623_26.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"جَميعٌ","ensemble","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933559_200107_1624_34.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"جَميلٌ","beau","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933560_200107_1624_49.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"حَسَدَ/يَحْسُدُ","envier","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933561_200107_1624_28.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"حَكى/يَحْكي","raconter","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933562_200107_1624_54.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"ذَكِيٌّ/أَذْكِياءُ","intelligent(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933563_200107_1625_41.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"ساجِدٌ/ساجِدٌون/سُجَّدٌ","prosterné(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933564_200107_1625_45.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"شَأْنٌ/شُؤُونٌ","dignité(s), rang(s), affaire(s), état(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933565_200107_1625_49.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"شَيْخٌ/شُيُوخٌ","cheikh, homme âgé, savant","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933566_200107_1627_28.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"طَبيعَةٌ/طَبائعُ","nature","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933567_200107_1627_31.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"عِلْمٌ/عُلُومٌ","science(s), savoir","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933568_200107_1627_34.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"غُلامٌ/غِلْمانٌ","enfant(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933569_200107_1627_37.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"قَدْ","renforce le sens du verbe au passé","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933570_200107_1627_40.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"قَصَصٌ","récit, action de suivre","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933571_200107_1627_43.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"كَ","ton, ta, tes","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933572_200107_1629_30.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"نُبُوَّةٌ","prophétie","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933573_200107_1629_33.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"اشْتَدَّ/يَشْتَدُّ","s’intensifier","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933574_200107_1629_36.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"أَمْرٌ/أُمُورٌ","chose(s), affaire(s), ordre(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933575_200107_1629_39.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"بَعْضٌ","certain","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933576_200107_1629_42.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"بَعيدٌ","loin","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933578_200107_1629_45.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"بِنْيامينُ","Benjamin","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933579_200107_1630_37.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"حُبٌّ","amour","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933580_200107_1630_40.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"حَسَدٌ","envie, jalousie","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933581_200107_1630_44.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"خالِصٌ","total, sincère","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933582_200107_1630_47.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"شابٌّ/شُبّانٌ","jeune(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933583_200107_1631_35.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"شَديدٌ/أَشِدّاءُ","fort(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933584_200107_1632_53.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"طَرَحَ/يَطْرَحُ","jeter","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933585_200107_1632_42.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"طَريقٌ","route, chemin","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933586_200107_1632_28.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"مِثْل","comme","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933587_200107_1632_17.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"مُسافِرٌ/مُسافِرٌون","voyageur(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933588_200107_1632_04.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"وافَقَ/يُوافِقُ","approuver","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933589_200107_1631_52.mp3]","Qissas_an-nabiyîn_(3ème_année)::07_Tableau_17-18"
"أَبَداً","jamais","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933662_200107_1544_58.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"اتَّفَقَ/يَتَّفِقُ","se mettre d’accord","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933663_200208_2038_33.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"أَذِنَ/يَأْذَنُ","permettre","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933664_200107_1545_18.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"أَنْتُمْ","vous","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933665_200107_1545_27.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"بَعُدَ/يَبْعُدُ","s’éloigner","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933666_200107_1545_36.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"حاضِرٌ","présent","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933667_200107_1545_46.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"حافِظ/حافِظون","attentif(s), gardien(s), qui connait par coeur","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933668_200107_1545_58.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"دائماً","toujours","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933669_200107_1546_07.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"ذِئْبٌ","loup","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933670_200107_1546_17.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"رَأْي/آراءٌ","avis","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933671_200107_1546_30.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"رَتَعَ/يَرْتَعُ","faire une promenade","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933672_200107_1546_40.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"شَرٌّ","mal","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933673_200107_1546_50.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"عاقِلٌ/عُقَلاءُ","sage(s), prudent(s), intelligent(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933674_200107_1547_03.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"عَزَمَ/يَعْزِمُ","etre résolu à","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933675_200107_1547_13.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"عَزيزٌ","cher, puissant","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933676_200107_1547_23.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"عَنْ","au sujet de","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933677_200107_1547_34.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"غافِلٌ/غافِلٌون","inattentif(s), insouciant(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933678_200107_1547_46.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"غَداً","demain","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933679_200107_1547_54.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"لَ","renforce le sens","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933680_200107_1548_04.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"وَفْد/وُفُودٌ","délégation(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933681_200107_1548_14.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"الآنَ","maintenant","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933682_200107_1548_22.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"آيَةٌ/آياتٌ","preuve(s), signe(s), verset(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933683_200107_1548_31.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"بَشَّرَ/يُبَشِّرُ","annoncer une bonne nouvelle","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933684_200107_1548_41.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"حَزِنَ/يَحْزَنُ","s’attrister","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933685_200107_1548_51.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"حَضَرَ/يَحْضُرُ","se présenter","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933686_200107_1549_09.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"دَمٌ/دِماءٌ","sang(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933687_200107_1549_23.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"رَحِمَ/يَرْحَمُ","avoir pitié","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933688_200107_1549_33.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"سَ","particule du futur","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933689_200107_1549_46.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"صَبَغَ/يَصْبَغُ","maculer, teindre","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933690_200107_1549_55.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"صَدَّقَ/يُصَدِّقُ","croire","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933691_200107_1550_05.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"صَدَقَ/يَصْدُقُ","dire la vérité","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933692_200107_1550_15.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"عَميقٌ","profond","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933693_200107_1550_25.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"غابَةٌ","forêt","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933694_200107_1550_34.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"فَرَغَ/يَفْرُغُ","finir","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933695_200107_1550_44.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"قَلْب/قُلُوبٌ","cœur(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933696_200107_1550_54.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"قَميصٌ","chemise","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933698_200107_1551_05.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"لَمْ","ne...pas (négation dans le passé)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933699_200107_1551_21.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"مُظْلِمٌ","obscur","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933700_200107_1551_32.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"وَحيدٌ","tout seul, unique","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129933701_200107_1552_13.mp3]","Qissas_an-nabiyîn_(3ème_année)::08_Tableau_19-20"
"اسْتَبَقَ/يَسْتَبِقُ","faire la course","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934027_200208_2037_08.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"أَعْقَلُ","plus intelligent","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934028_200107_1520_00.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"بَكى/يَبْكي","pleurer","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934029_200107_1520_09.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"جَرَحَ/يَجْرَحُ","blesser","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934030_200107_1520_18.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"حُزْنٌ","tristesse","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934031_200107_1520_28.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"شَقَّ/يَشُقُّ","déchirer, être dur","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934032_200107_1520_38.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"صَبْرٌ","patience","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934033_200107_1520_48.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"صَبَرَ/يَصْبِرُ","patienter","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934034_200107_1520_57.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"عِشاءٌ","soir","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934035_200107_1521_07.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"كَذِبٌ","faux, mensonger","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934036_200107_1521_16.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"مَتاعٌ/أَمْتِعَةٌ","affaire(s), bagage(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934037_200107_1521_25.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"مَصْبوغٌ","maculé, teint","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934038_200107_1521_37.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"مَوْضوعٌ","inventé","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934040_200107_1521_47.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"فِراشٌ/أَفْرِشَةٌ/فُرُشٌ","lit(s), couchette(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934041_200107_1521_58.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"موحِشٌ","inhabité, peuplé de bêtes sauvages","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934042_200107_1522_07.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"نامَ/يَنامُ","dormir","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934043_200107_1522_17.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"نَسِيَ/يَنْسى","oublier","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934044_200107_1522_26.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"أَخْرَجَ/يُخْرِجُ","faire sortir","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934045_200107_1522_37.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"أَخْفى/يُخْفي","cacher","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934046_200107_1522_47.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"أَدْلى/يُدْلي","faire descendre","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934047_200107_1523_01.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"اشْتَرى/يَشْتَري","acheter","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934048_200107_1523_16.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"أَكْرَمَ/يُكْرِمُ","honorer","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934049_200107_1523_27.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"امْرَأَةٌ","femme, épouse","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934050_200107_1524_27.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"بَحَثَ/يَبْحَثُ","chercher","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934051_200107_1525_01.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"بُشْرى","bonne nouvelle","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934052_200107_1527_59.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"تاجِرٌ/تُجّارٌ","commerçant(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934053_200107_1528_08.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"ثَقيلٌ","lourd","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934054_200107_1528_21.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"جَماعَةٌ/جَماعاتٌ","groupe(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934055_200107_1528_32.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"دِرْهَمٌ/دَراهِمُ","dirham(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934056_200107_1528_44.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"دَلْوٌ","seau","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934057_200107_1528_54.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"سوقٌ/أَسْواقٌ","marché(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934058_200107_1529_12.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"قامَ/يَقومُ","se lever","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934059_200107_1529_28.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"قَصْرٌ/قُصُورٌ","palais, château(x)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934060_200107_1529_50.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"مِصْرُ","Egypte","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934061_200107_1530_02.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"مَعْدودٌ","quelque, compté","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934062_200107_1530_13.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"نادى/يُنادي","crier, appeler","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934063_200107_1530_23.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"نَزَعَ/يَنْزِعُ","enlever, retirer","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934065_200107_1530_34.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"أَبى/يَأْبى","refuser","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934066_200107_1530_44.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"أَمانَةٌ","honnêteté, loyauté, dépôt","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934067_200107_1530_54.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
"أَمينٌ/أُمَناءُ","digne(s) de confiance","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129934068_200107_1531_06.mp3]","Qissas_an-nabiyîn_(3ème_année)::09_Tableau_21-24"
