#separator:comma
#html:true
#tags column:5
#columns:Learnable,Definition,Audio,Images,Level tags
"أَخْبَرَ","informer","[sound:ataalamou-larabia-2_5718209c_246757014_200501_2131_14.mp3]",,"Ataalamou_l'arabia_(2)::23_Leçon_23"
"ساعَةٌ","heure","[sound:ataalamou-larabia-2_5718209c_246757015_200501_2131_27.mp3]",,"Ataalamou_l'arabia_(2)::23_Leçon_23"
"خُروجٌ","sortie","[sound:ataalamou-larabia-2_5718209c_246757016_200501_2131_40.mp3]",,"Ataalamou_l'arabia_(2)::23_Leçon_23"
"يُكَلِّمُ","parler à","[sound:ataalamou-larabia-2_5718209c_246757017_200501_2131_58.mp3]",,"Ataalamou_l'arabia_(2)::23_Leçon_23"
"دُنْيا","vie terrestre","[sound:ataalamou-larabia-2_5718209c_246757030_200501_2140_20.mp3]",,"Ataalamou_l'arabia_(2)::24_Leçon_24"
"آخِرَةٌ","vie future, l`au-delà","[sound:ataalamou-larabia-2_5718209c_246757031_200501_2140_32.mp3]",,"Ataalamou_l'arabia_(2)::24_Leçon_24"
"آيَةٌ","signe","[sound:ataalamou-larabia-2_5718209c_246757032_200501_2140_46.mp3]",,"Ataalamou_l'arabia_(2)::24_Leçon_24"
"كَفَرَ","être impie, mécréant","[sound:ataalamou-larabia-2_5718209c_246757033_200501_2141_02.mp3]",,"Ataalamou_l'arabia_(2)::24_Leçon_24"
"يُفْلِحُ","réussir","[sound:ataalamou-larabia-2_5718209c_246757034_200501_2141_17.mp3]",,"Ataalamou_l'arabia_(2)::24_Leçon_24"
"آتى","donner","[sound:ataalamou-larabia-2_5718209c_246757035_200501_2141_32.mp3]",,"Ataalamou_l'arabia_(2)::24_Leçon_24"
"كَثيرٌ","nombreux","[sound:ataalamou-larabia-2_5718209c_246757036_200501_2141_45.mp3]",,"Ataalamou_l'arabia_(2)::24_Leçon_24"
"اسْتَكْبَرَ","être orgueilleux","[sound:ataalamou-larabia-2_5718209c_246757037_200501_2141_57.mp3]",,"Ataalamou_l'arabia_(2)::24_Leçon_24"
"يَفْرَحُ","se vanter, se réjouir","[sound:ataalamou-larabia-2_5718209c_246757038_200501_2142_09.mp3]",,"Ataalamou_l'arabia_(2)::24_Leçon_24"
"يُعْطي","donner","[sound:ataalamou-larabia-2_5718209c_246757039_200501_2142_22.mp3]",,"Ataalamou_l'arabia_(2)::24_Leçon_24"
"وَلَدٌ","enfant","[sound:ataalamou-larabia-2_5718209c_246757051_200501_2146_02.mp3]",,"Ataalamou_l'arabia_(2)::25_Leçon_25"
"شَيْءٌ","quelque chose, rien","[sound:ataalamou-larabia-2_5718209c_246757052_200501_2146_15.mp3]",,"Ataalamou_l'arabia_(2)::25_Leçon_25"
"حَمَلَ","porter","[sound:ataalamou-larabia-2_5718209c_246757053_200501_2146_26.mp3]",,"Ataalamou_l'arabia_(2)::25_Leçon_25"
"أَرادَ","vouloir","[sound:ataalamou-larabia-2_5718209c_246757054_200501_2146_39.mp3]",,"Ataalamou_l'arabia_(2)::25_Leçon_25"
"حينَئِذٍ","alors","[sound:ataalamou-larabia-2_5718209c_246757055_200501_2146_58.mp3]",,"Ataalamou_l'arabia_(2)::25_Leçon_25"
"ابْنٌ","fils","[sound:ataalamou-larabia-2_5718209c_246757056_200501_2147_12.mp3]",,"Ataalamou_l'arabia_(2)::25_Leçon_25"
"يَتَّبِعُ","suivre","[sound:ataalamou-larabia-2_5718209c_246757057_200501_2147_36.mp3]",,"Ataalamou_l'arabia_(2)::25_Leçon_25"
"رَحْمَةٌ","miséricorde, pitié","[sound:ataalamou-larabia-2_5718209c_246757058_200501_2147_53.mp3]",,"Ataalamou_l'arabia_(2)::25_Leçon_25"
"أَبٌ","père","[sound:ataalamou-larabia-2_5718209c_246757059_200501_2148_03.mp3]",,"Ataalamou_l'arabia_(2)::25_Leçon_25"
"نَزَلَ","descendre","[sound:ataalamou-larabia-2_5718209c_246757060_200501_2148_14.mp3]",,"Ataalamou_l'arabia_(2)::25_Leçon_25"
"جَميعٌ","tous","[sound:ataalamou-larabia-2_5718209c_246757072_200504_0517_22.mp3]",,"Ataalamou_l'arabia_(2)::26_Leçon_26"
"مَجْنونٌ","fou","[sound:ataalamou-larabia-2_5718209c_246757073_200504_0517_37.mp3]",,"Ataalamou_l'arabia_(2)::26_Leçon_26"
"سَيِّدٌ","maître","[sound:ataalamou-larabia-2_5718209c_246757074_200504_0517_56.mp3]",,"Ataalamou_l'arabia_(2)::26_Leçon_26"
"أَطاعَ","obéir","[sound:ataalamou-larabia-2_5718209c_246757075_200504_0518_11.mp3]",,"Ataalamou_l'arabia_(2)::26_Leçon_26"
"بَيْن","entre","[sound:ataalamou-larabia-2_5718209c_246757076_200504_0518_35.mp3]",,"Ataalamou_l'arabia_(2)::26_Leçon_26"
"أَوَّلُ","premier","[sound:ataalamou-larabia-2_5718209c_246757077_200504_0518_50.mp3]",,"Ataalamou_l'arabia_(2)::26_Leçon_26"
"يَكْسِرُ","casser","[sound:ataalamou-larabia-2_5718209c_246757078_200504_0519_05.mp3]",,"Ataalamou_l'arabia_(2)::26_Leçon_26"
"حِجارَةٌ","pierre","[sound:ataalamou-larabia-2_5718209c_246757079_200504_0519_24.mp3]",,"Ataalamou_l'arabia_(2)::26_Leçon_26"
"شَجَرَةٌ","arbre","[sound:ataalamou-larabia-2_5718209c_246757096_200504_0519_55.mp3]",,"Ataalamou_l'arabia_(2)::27_Leçon_27"
"يُنادي","appeler","[sound:ataalamou-larabia-2_5718209c_246757097_200504_0520_19.mp3]",,"Ataalamou_l'arabia_(2)::27_Leçon_27"
"يَتَحَرَّكُ","bouger","[sound:ataalamou-larabia-2_5718209c_246757098_200504_0520_44.mp3]",,"Ataalamou_l'arabia_(2)::27_Leçon_27"
"يَبْكي","pleurer","[sound:ataalamou-larabia-2_5718209c_246757099_200504_0521_15.mp3]",,"Ataalamou_l'arabia_(2)::27_Leçon_27"
"يَضْحَكُ","rire","[sound:ataalamou-larabia-2_5718209c_246757100_200504_0521_37.mp3]",,"Ataalamou_l'arabia_(2)::27_Leçon_27"
"كَذِبٌ","mensonge","[sound:ataalamou-larabia-2_5718209c_246757101_200504_0522_28.mp3]",,"Ataalamou_l'arabia_(2)::27_Leçon_27"
"غَنَمٌ","moutons","[sound:ataalamou-larabia-2_5718209c_246757102_200504_0522_53.mp3]",,"Ataalamou_l'arabia_(2)::27_Leçon_27"
"ظَنَّ","penser","[sound:ataalamou-larabia-2_5718209c_246757103_200504_0523_08.mp3]",,"Ataalamou_l'arabia_(2)::27_Leçon_27"
"يَسْخَرُ","se moquer","[sound:ataalamou-larabia-2_5718209c_246757104_200504_0523_13.mp3]",,"Ataalamou_l'arabia_(2)::27_Leçon_27"
"فَكَّرَ","penser","[sound:ataalamou-larabia-2_5718209c_246757105_200504_0523_19.mp3]",,"Ataalamou_l'arabia_(2)::27_Leçon_27"
"طَيِّبٌ","bien, bon","[sound:ataalamou-larabia-2_5718209c_246757116_200504_0523_28.mp3]",,"Ataalamou_l'arabia_(2)::28_Leçon_28"
"أُذُنٌ","oreille","[sound:ataalamou-larabia-2_5718209c_246757117_200504_0523_32.mp3]",,"Ataalamou_l'arabia_(2)::28_Leçon_28"
"حَرَّمَ","interdire","[sound:ataalamou-larabia-2_5718209c_246757118_200504_0523_36.mp3]",,"Ataalamou_l'arabia_(2)::28_Leçon_28"
"نَسِيَ","oublier","[sound:ataalamou-larabia-2_5718209c_246757119_200504_0523_42.mp3]",,"Ataalamou_l'arabia_(2)::28_Leçon_28"
"خالِقٌ","créateur","[sound:ataalamou-larabia-2_5718209c_246757120_200504_0523_51.mp3]",,"Ataalamou_l'arabia_(2)::28_Leçon_28"
"يَشْهَدُ","témoigner","[sound:ataalamou-larabia-2_5718209c_246757121_200504_0523_55.mp3]",,"Ataalamou_l'arabia_(2)::28_Leçon_28"
"أَوْصى","recommander","[sound:ataalamou-larabia-2_5718209c_246757122_200504_0524_01.mp3]",,"Ataalamou_l'arabia_(2)::28_Leçon_28"
"مُنْذُ","depuis","[sound:ataalamou-larabia-2_5718209c_246757123_200504_0524_06.mp3]",,"Ataalamou_l'arabia_(2)::28_Leçon_28"
"نِعْمَةٌ/نِعَمٌ","bienfait/s","[sound:ataalamou-larabia-2_5718209c_246757124_200504_0524_21.mp3]",,"Ataalamou_l'arabia_(2)::28_Leçon_28"
"عَيْنٌ","œil","[sound:ataalamou-larabia-2_5718209c_246757125_200504_0525_09.mp3]",,"Ataalamou_l'arabia_(2)::28_Leçon_28"
"يُكْرِمُ","honorer","[sound:ataalamou-larabia-2_5718209c_246757140_200504_0525_25.mp3]",,"Ataalamou_l'arabia_(2)::29_Leçon_29"
"جُزْءٌ","partie","[sound:ataalamou-larabia-2_5718209c_246757141_200504_0525_29.mp3]",,"Ataalamou_l'arabia_(2)::29_Leçon_29"
"بَقِيَ","rester","[sound:ataalamou-larabia-2_5718209c_246757142_200504_0525_33.mp3]",,"Ataalamou_l'arabia_(2)::29_Leçon_29"
"شَديدٌ","fort","[sound:ataalamou-larabia-2_5718209c_246757143_200504_0525_38.mp3]",,"Ataalamou_l'arabia_(2)::29_Leçon_29"
"اسْتَطاعَ","pouvoir","[sound:ataalamou-larabia-2_5718209c_246757144_200504_0532_17.mp3]",,"Ataalamou_l'arabia_(2)::29_Leçon_29"
"عَبْدٌ","serviteur, esclave","[sound:ataalamou-larabia-2_5718209c_246757145_200504_0525_55.mp3]",,"Ataalamou_l'arabia_(2)::29_Leçon_29"
"صاحِبٌ","propriétaire, compagnon","[sound:ataalamou-larabia-2_5718209c_246757146_200504_0526_03.mp3]",,"Ataalamou_l'arabia_(2)::29_Leçon_29"
"خُلُقٌ","caractère","[sound:ataalamou-larabia-2_5718209c_246757147_200504_0526_08.mp3]",,"Ataalamou_l'arabia_(2)::29_Leçon_29"
"حَسَنٌ","bon","[sound:ataalamou-larabia-2_5718209c_246757148_200504_0526_13.mp3]",,"Ataalamou_l'arabia_(2)::29_Leçon_29"
"أَميرٌ/أُمَراءُ","chef(s), émir(s)","[sound:ataalamou-larabia-2_5718209c_246757149_200504_0526_17.mp3]",,"Ataalamou_l'arabia_(2)::29_Leçon_29"
"خافَ","avoir peur","[sound:ataalamou-larabia-2_5718209c_246757157_200504_0526_37.mp3]",,"Ataalamou_l'arabia_(2)::30_Leçon_30"
"يَغْضَبُ","se mettre en colère","[sound:ataalamou-larabia-2_5718209c_246757158_200504_0526_42.mp3]",,"Ataalamou_l'arabia_(2)::30_Leçon_30"
"حَجَرٌ","pierre","[sound:ataalamou-larabia-2_5718209c_246757159_200504_0526_46.mp3]",,"Ataalamou_l'arabia_(2)::30_Leçon_30"
"قَليلٌ","peu","[sound:ataalamou-larabia-2_5718209c_246757160_200504_0526_51.mp3]",,"Ataalamou_l'arabia_(2)::30_Leçon_30"
"كَيْفَ","comment","[sound:ataalamou-larabia-2_5718209c_246757161_200504_0526_56.mp3]",,"Ataalamou_l'arabia_(2)::30_Leçon_30"
"صَيدٌ","chasse, pêche","[sound:ataalamou-larabia-2_5718209c_246757162_200504_0527_01.mp3]",,"Ataalamou_l'arabia_(2)::30_Leçon_30"
"أَكْلَةٌ","repas","[sound:ataalamou-larabia-2_5718209c_246757163_200504_0527_14.mp3]",,"Ataalamou_l'arabia_(2)::30_Leçon_30"
"وَضَعَ","poser","[sound:ataalamou-larabia-2_5718209c_246757164_200504_0527_19.mp3]",,"Ataalamou_l'arabia_(2)::30_Leçon_30"
"يَلْعَبُ","jouer","[sound:ataalamou-larabia-2_5718209c_246757165_200504_0527_24.mp3]",,"Ataalamou_l'arabia_(2)::30_Leçon_30"
"صَبِيٌّ","garçon","[sound:ataalamou-larabia-2_5718209c_246757166_200504_0527_29.mp3]",,"Ataalamou_l'arabia_(2)::30_Leçon_30"
