#separator:comma
#html:true
#tags column:4
#columns:Learnable,Definition,Audio,Level tags
"إحسانٌ","bienfaisance","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129889990_200105_1508_26.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"أَغاثَ/يُغيثُ","secourir","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129889991_200105_1537_50.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"بَهيمَةٌ/بَهائِمُ","bête(s), animal(aux)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129889992_200105_1538_05.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"دَفَنَ/يَدْفِنُ","enterrer","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129889993_200105_1538_31.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"دَفينٌ","enterré","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129889994_200105_1544_29.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"شَبِعَ/يَشْبَعُ","manger à sa faim, se rassasier","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129889995_200105_1544_02.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"عَزّى/يُعَزِّي","consoler, présenter ses condoléances","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129889996_200105_1543_46.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"قُدومٌ","arrivée","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129889997_200105_1543_32.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"أَبْغَضَ/يُبْغِضُ","haïr","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129889998_200105_1543_21.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"احْتَقَرَ/يَحْتَقِرُ","mépriser","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890000_200105_1542_37.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
