#separator:comma
#html:true
#tags column:4
#columns:Learnable,Definition,Audio,Level tags
"أخلاقٌ","caractère","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890001_200105_1542_17.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"اسْتَخْدَمَ/يَسْتَخْدِمُ","utiliser","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890002_200105_1542_05.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"امْتازَ/يَمْتازُ","se distinguer","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890003_200105_1541_49.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"امْتَنَعَ/يَمْتَنِعُ","se refuser à","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890004_200105_1541_29.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"إنْصافٌ","justice, droiture","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890005_200105_1541_14.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"بُغْضٌ","haine","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890006_200105_1540_55.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"تَغَيَّرَ/يَتَغَيَّرُ","changer","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890007_200105_1540_41.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"جبّارٌ","puissant, tyran","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890008_200105_1540_22.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"حِمارٌ/حَميرٌ","âne(s)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890009_200105_1540_09.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"دُعِيَ /يُدْعى","s'appeler, se nommer","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890010_200105_1539_49.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"سائِرٌ","tout le reste, le reste","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890011_200105_1539_28.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"عامَلَ/يُعامِلُ","traiter quelqu'un, se comporter avec","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890012_200105_1539_17.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"فِرعَونُ/ فَراعِنَةٌ","pharaon(s)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890013_200105_1539_04.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"قوتٌ","nourriture, subsistance","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890014_200105_1538_54.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"مُعامَلَةٌ","traitement, agissement","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890015_200105_1538_44.mp3]","Qissas_an-nabiyîn_(4ème_année)::01_Tableau_88-89"
"اسْتَحْيا/ يَسْتَحْيي","laisser en vie, avoir honte","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890150_200105_1700_00.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"مُفْسِدٌ/مُفْسِدُونَ","corrupteur, semeur de trouble","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890150_200105_moufssid_200105_1700_1.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"استَضْعَفَ/يَسْتَضْعِفُ","affaiblir, trouver qqn faible","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890151_200105_1700_26.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"تَعْزِيَةٌ","condoléances","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890152_200105_1700_36.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"تَلَقَّى/يَتَلَقّى","recevoir, apprendre","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890153_200105_1700_43.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"جُنَّ","devenir fou","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890154_200105_1700_50.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"جُنْدٌ/جُنودٌ","soldat(s)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890155_200105_1700_54.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"جُنونٌ","folie","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890156_200105_1701_01.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"ذَبَّحَ/يُذَبِّحُ","égorger","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890157_200105_1701_06.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"رَغْم","malgré","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890158_200105_1701_13.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"شُرْطَةٌ","police","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890159_200105_1701_19.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"شَهْرٌ/أَشْهُرٌ/شُهورٌ","mois","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890160_200105_1701_27.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"شيعَةٌ/شِيَعٌ","parti(s), partisan(s), clan(s)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890161_200105_1705_08.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"طائفَةٌ","groupe","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890162_200105_1701_40.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"عَسيرٌ","difficile","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890163_200105_1702_29.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"عَلا/يَعْلو","s'élever, s'enorgueillir","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890164_200105_1702_34.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"فَتَّشَ/يُفَتِّشُ","chercher","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890165_200105_1702_41.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"قِبْطِيٌّ","copte","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890166_200105_1702_54.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"قَدَّرَ/يُقَدِّرُ","décréter","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890167_200105_1703_03.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"كاهِنٌ","devin, prêtre","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890168_200105_1703_11.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"مَولودٌ","nouveau-né","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890169_200105_1703_17.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"مِئاتٌ","des centaines","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890170_200105_1703_23.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"نَعْجَةٌ/نِعاجٌ","brebis","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890171_200105_1703_29.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"اخْتَطَفَ/يَخْتَطِفُ","kidnapper, enlever","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890172_200105_1703_35.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"أَرْضَعَ/يُرْضِعُ","allaiter","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890173_200105_1703_43.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"أَلْهَمَ/يُلْهِمُ","inspirer","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890174_200105_1703_49.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"حِجْرٌ","giron, sein (ou ici bras, genoux)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890175_200105_1703_59.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"حَنونٌ","tendre, affectueux","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890176_200105_1704_05.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"صُنْدوقٌ","boîte, coffre, caisse","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890177_200105_1704_12.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"عَشَراتٌ","des dizaines","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890178_200105_1704_18.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"مِرْصادٌ","aux aguets","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890179_200105_1704_28.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"نِيل","(le) Nil","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890180_200105_1704_37.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"يَمٌّ","mer","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890181_200105_1704_40.mp3]","Qissas_an-nabiyîn_(4ème_année)::02_Tableau_90-91"
"ابْتَسَمَ/يَبْتَسِمُ","sourire","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890315_200105_1714_23.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"اتَّخَذَ/يَتَّخِذُ","prendre","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890316_200105_1714_28.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"الْتَقَطَ/يَلْتَقِطُ","ramasser,recueillir","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890317_200105_1714_34.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"إلَيكَ","tiens, prends","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890318_200105_1714_44.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"بَصَرٌ/أَبْصَارٌ","vue(s),regard(s)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890319_200105_1714_59.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"فُتِحَ/يُفْتَحُ","être ouvert","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890319_200105_foutih_200105_1714_59.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"هَامَانُ","Haman","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890319_200105_haman_200105_1714_59.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"شاطِئ","côte, rivage, bord","[sound:generated_1768513597886_f9299f7a.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"تَنَزَّهَ/يَتَنَزَّهُ","se promener","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890320_200105_1715_06.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"حَزَنٌ","tristesse","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890321_200105_1715_16.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"قُرَّةُ عَينٍ","consolation, réjouissement","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890322_200105_1715_24.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"كَأَنَّما","comme si","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890323_200105_1715_31.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"أَخَذَ يَفْعَلُ","se mettre (à faire)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890324_200105_1715_55.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"أَدَبٌ/آدابٌ","politesse(s), bonne(s) manière(s)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890325_200105_1716_13.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"ارْتَضَعَ/يَرْتَضِعُ","s'allaiter","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890326_200105_1716_19.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"تَحَدَّثَ/يَتَحَدَّثُ","causer","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890327_200105_1716_29.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"جارِيَةٌ","jeune fille, servante","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890328_200105_1716_36.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"جائِعٌ","affamé","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890329_200105_1716_43.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"رَضاعَةٌ","allaitement","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890330_200105_1716_56.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"لَبَنٌ/أَلْبانٌ","lait(s)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890331_200105_1717_40.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"لُعْبَةٌ","jouet","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890332_200105_1717_45.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"مُرْضِعٌ (ة)/مُرْضِعٌات/مَراضِعُ","nourrice(s)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890333_200105_1717_50.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"اقْتَتَلَ/يَقْتَتِلُ","combattre les uns, contre les autres","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890334_200105_1717_54.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"تَرَقَّبَ/يَتَرَقَّبُ","attendre, guetter","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890335_200105_1718_01.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"تَشاوَرَ/يَتَشاوَرُ","délibérer, se concerter","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890336_200105_1718_07.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"تَقَدَّمَ/يَتَقَدَّمُ","s'avancer","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890337_200105_1718_13.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"خائِفٌ/خائِفون","effrayé(s)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890338_200105_1718_24.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"خِصامٌ","querelle","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890339_200105_1718_32.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"خَلاصٌ","salut, délivrance","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890340_200105_1718_36.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"صَرَخَ/يَصْرُخُ","crier","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890341_200105_1718_44.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"ضَرْبَةٌ","coup","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890342_200105_1718_48.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"قاتِلٌ/قاتِلون/قَتَلَةٌ","assasin(s)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890343_200105_1718_54.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"كَرِهَ/يَكْرَهُ","détester","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890344_200105_1718_58.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"مَدْيَنُ","Madyan","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890345_200105_1719_02.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"نَجّى/يُنَجّي","sauver","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890346_200105_1719_07.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"نَدِمَ/يَنْدَمُ","regretter","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890347_200105_1719_20.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"وَزيرٌ/وُزَراءُ","ministre(s), assistant(s)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890348_200105_1719_25.mp3]","Qissas_an-nabiyîn_(4ème_année)::03_Tableau_92-94"
"إحدى","une de","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890378_200105_1837_43.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"أَحْسَنَ/يُحْسِنُ","bien faire","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890379_200105_1837_53.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"اسْتِحْياءٌ","pudeur","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890380_200105_1838_14.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"إناثٌ","femme","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890382_200105_1838_18.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"باتَ/يَبيتُ","passer la nuit","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890383_200105_1838_22.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"بَوَّأَ/يُبَوِّئُ","loger","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890384_200105_1838_28.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"حَنانٌ","tendresse","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890385_200105_1838_35.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"ضِيافَةٌ","hospitalité","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890386_200105_1838_40.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"مَأْوًى","abri","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890387_200105_1838_46.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"ميعادٌ","rendez-vous, l'heure habituelle","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890388_200105_1838_50.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"أَبَتِ","mon père (affectueux)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890389_200105_1838_54.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"أَبْيَضُ/ بَيضاءُ","blanc(he)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890390_200105_1838_59.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"أَجَرَ/يَأْجُرُ","rétribuer qqn, travailler pour","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890391_200105_1839_07.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"اسْتَأْجَرَ/يَسْتَأْجِرُ","employer","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890392_200105_1839_13.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"اسْتَفادَ/يَسْتَفيدُ","profiter","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890393_200105_1841_13.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"اسْتَمَعَ/يَسْتَمِعُ","écouter attentivement","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890394_200105_1841_19.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"آنَسَ/يُؤانِسُ","apercevoir de loin","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890395_200105_1841_25.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"انْطَلَقَ/يَنْطَلِقُ","être délié, partir","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890396_200105_1841_32.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"أَنْكَحَ/يُنْكِحُ","marier","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890397_200105_1841_36.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"أَوْصى/يوصي","recommander, ordonner","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890398_200105_1841_41.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"بَينَما","alors que","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890399_200105_1841_45.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"تَذَكَّرَ/يَتَذَكَّرُ","se souvenir","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890400_200105_1841_49.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"تَوَكَّأَ/يَتَوَكَّأُ","s'appuyer","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890401_200105_1841_59.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"جَناحٌ/أَجْنِحَةٌ","aile(s), bras, flanc(s)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890402_200105_1842_03.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"حُبْسَةٌ","bégaiement, embarras de langue","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890403_200105_1842_07.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"حِجَّةٌ/حِجَجٌ","année(s)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890405_200105_1842_12.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"حَلَّ/يَحِلُّ","prendre la place, délier, dénouer","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890406_200105_1842_16.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"حَيَّةٌ/حَيّاتٌ","serpent(s)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890407_200105_1842_20.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"خَشِيَ/يَخْشى","craindre","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890408_200105_1842_25.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"خَلَعَ/يَخْلَعُ","enlever","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890409_200105_1842_33.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"زَواجٌ","mariage","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890410_200105_1842_43.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"سَعى/يَسْعى","s'efforcer de, marcher, courir","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890411_200105_1842_47.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"سيرَةٌ/سِيَرٌ","conduite(s), aspect(s)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890412_200105_1842_52.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"شَرَعَ/يَشْرَعُ","commencer","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890413_200105_1842_57.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"ضَمَّ/يَضُمُّ","réunir, assembler","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890414_200105_1843_07.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"طُول","longueur, tout le long","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890415_200105_1843_03.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"طُوَى/طُوًى","Touwa","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890416_200105_1843_14.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"ظَلامٌ","obscurité","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890417_200105_1843_19.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"عَصاً/عِصِيٌّ/أَعْصاءٌ","bâton(s)","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890418_200105_1843_26.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
"غِطاءٌ","couvercle","[sound:qissas-an-nabiyin-4eme-annee_1345340c_129890419_200105_1843_30.mp3]","Qissas_an-nabiyîn_(4ème_année)::04_Tableau_95-96"
